name,date,open,high,low,close,volumn
CHG,14-Oct-14,17.8,17.8,17.6,17.6,782800
CHO,14-Oct-14,4.96,5.05,4.84,4.84,7981600
CHOTI,14-Oct-14,196,196.5,196,196.5,1000
CHOW,14-Oct-14,7.9,8.2,7.55,7.6,44457600
CHUO,14-Oct-14,12.8,13.1,12.7,12.8,32900
CI,14-Oct-14,2.4,2.52,2.32,2.46,52387900
CIG,14-Oct-14,1.55,1.8,1.47,1.5,382274800
CIMBT,14-Oct-14,2.14,2.14,2.12,2.14,1188200
CITY,14-Oct-14,4.48,4.6,4.48,4.54,390600
CK,14-Oct-14,26.5,26.75,26.25,26.5,9343200
CKP,14-Oct-14,18.1,18.2,17.8,17.9,931300
CM,14-Oct-14,4.1,4.12,4.08,4.08,248200
CMO,14-Oct-14,2.76,2.76,2.64,2.64,2483200
CMR,14-Oct-14,200,202,200,202,3000
CNS,14-Oct-14,2.4,2.42,2.4,2.42,153300
CNT,14-Oct-14,5.6,5.6,5.5,5.55,472000
COLOR,14-Oct-14,1.5,1.5,1.44,1.46,5636000
CPALL,14-Oct-14,44,44,43.5,43.75,8193000
CPF,14-Oct-14,32.25,32.75,32.25,32.25,20980200
CPH,14-Oct-14,7.05,7.05,7.05,7.05,5000
CPI,14-Oct-14,2.62,2.72,2.62,2.72,2316900
CPL,14-Oct-14,30.75,31.5,30.75,31,7400
CPN,14-Oct-14,45.75,46,45.25,45.25,4205100
CPNCG,14-Oct-14,10.6,10.6,10.4,10.5,577200
CPNRF,14-Oct-14,16.3,16.3,16.2,16.3,882200
CPR,14-Oct-14,3.04,3.08,3.02,3.08,98300
CPTGF,14-Oct-14,9.5,9.5,9.45,9.5,167900
CRANE,14-Oct-14,4.94,4.98,4.88,4.9,319000
CRYSTAL,14-Oct-14,9.75,9.8,9.75,9.75,56700
CSC,14-Oct-14,52.5,52.5,52.5,52.5,2100
CSL,14-Oct-14,9.95,10,9.95,9.95,140000
CSP,14-Oct-14,4.22,4.24,4.2,4.24,122200
CSS,14-Oct-14,6.4,6.7,6.3,6.6,10602800
CTARAF,14-Oct-14,4.92,4.96,4.82,4.94,39300
CTW,14-Oct-14,11.2,11.3,11.1,11.1,155800
CWT,14-Oct-14,2.36,2.38,2.28,2.28,2125900
DCC,14-Oct-14,57.75,58.25,57.75,58,141100
DCON,14-Oct-14,16.7,16.8,16.7,16.8,171900
DELTA,14-Oct-14,58,59,57.5,59,2886500
DEMCO,14-Oct-14,15.7,15.8,15.5,15.5,7713200
DIMET,14-Oct-14,18.3,19.3,18.2,19,18432500
DNA,14-Oct-14,3.64,3.66,3.58,3.58,7057900
DRACO,14-Oct-14,4.1,4.1,4.1,4.1,200
DRT,14-Oct-14,5.95,6,5.9,5.9,658800
DSGT,14-Oct-14,8.05,8.1,8.05,8.1,204600
DTAC,14-Oct-14,102.5,104.5,102,104,1752600
DTC,14-Oct-14,63.5,63.5,63.5,63.5,3500
DTCI,14-Oct-14,38,38,38,38,500
DTCPF,14-Oct-14,8.8,8.8,8.75,8.8,159200
E,14-Oct-14,1.3,1.32,1.27,1.27,20384300
EA,14-Oct-14,23.3,23.4,23.1,23.1,1398800
EARTH,14-Oct-14,5.3,5.45,5.3,5.4,16535200
EASON,14-Oct-14,3.26,3.26,3.26,3.26,1500
EASTW,14-Oct-14,11,11,10.9,11,115900
ECF,14-Oct-14,4.74,4.8,4.64,4.64,16813500
ECL,14-Oct-14,2.32,2.34,2.18,2.18,73598100
EE,14-Oct-14,1.3,1.32,1.27,1.27,19952600
EFORL,14-Oct-14,1.66,1.77,1.65,1.77,502750800
EGCO,14-Oct-14,170.5,171,166,167,384300
EIC,14-Oct-14,2.4,2.44,2.36,2.38,3045700
EMC,14-Oct-14,1.31,1.37,1.3,1.33,365320500
EPCO,14-Oct-14,6.2,6.2,6.1,6.15,1108800
ERW,14-Oct-14,4.7,4.74,4.68,4.74,1952800
ERWPF,14-Oct-14,9.7,9.7,9.65,9.65,109600
ESSO,14-Oct-14,5.5,5.6,5.45,5.5,3919800
ESTAR,14-Oct-14,1.03,1.05,1.02,1.02,33769900
EUREKA,14-Oct-14,3.22,3.22,3.2,3.2,319700
EVER,14-Oct-14,3,3.18,2.98,3.1,47484900
F&D,14-Oct-14,28.75,29.75,28.75,29.5,14600
FANCY,14-Oct-14,2.64,2.66,2.52,2.52,3354500
FE,14-Oct-14,200,200,200,200,600
FNS,14-Oct-14,4.38,4.44,4.3,4.36,275900
FOCUS,14-Oct-14,3.44,4,3.38,3.72,39442700
FORTH,14-Oct-14,6.85,6.85,6.3,6.3,4120700
FPI,14-Oct-14,14,14.2,13.9,14.2,1954700
FSMART,14-Oct-14,6.5,6.65,4.96,5.1,337038900
FSS,14-Oct-14,3.44,3.48,3.4,3.44,160400
FUTUREPF,14-Oct-14,17,17,17,17,489700
FVC,14-Oct-14,2.54,2.56,2.44,2.5,3350700
GBX,14-Oct-14,0.97,1,0.96,0.97,15215700
GC,14-Oct-14,4.24,4.28,4.24,4.28,20000
GCAP,14-Oct-14,4.86,4.88,4.72,4.74,1439200
GEL,14-Oct-14,0.83,0.85,0.82,0.82,188212700
GENCO,14-Oct-14,1.27,1.48,1.27,1.48,470949300
GFPT,14-Oct-14,20.6,21.4,20.6,21,5138800
GJS,14-Oct-14,0.08,0.09,0.07,0.08,128719300
GL,14-Oct-14,5.85,5.9,5.8,5.8,242900
GLAND,14-Oct-14,4.04,4.22,3.68,3.7,135995400
GLOBAL,14-Oct-14,12.9,12.9,12.7,12.7,2986900
GLOW,14-Oct-14,92.75,94.5,92.75,92.75,816400
GOLD,14-Oct-14,8.75,8.85,8.65,8.7,2776800
GOLDPF,14-Oct-14,5.3,5.3,5.3,5.3,70000
GRAMMY,14-Oct-14,13.7,13.9,13.7,13.8,130600
GRAND,14-Oct-14,2.44,2.52,2.4,2.44,107478700
GSTEL,14-Oct-14,0.17,0.18,0.16,0.17,322187100
GUNKUL,14-Oct-14,22.7,22.7,22.4,22.7,696100
HANA,14-Oct-14,41,41.75,40.5,40.75,1825900
HEMRAJ,14-Oct-14,4.56,4.62,4.54,4.54,33212200
HFT,14-Oct-14,3.84,3.86,3.78,3.78,1620100
HMPRO,14-Oct-14,10.2,10.3,10.1,10.1,17571900
HOTPOT,14-Oct-14,3.32,3.38,3.32,3.38,517600
HPF,14-Oct-14,9.65,9.65,9.65,9.65,10000
HTC,14-Oct-14,12.8,12.9,12.8,12.8,26100
HTECH,14-Oct-14,2.96,3.04,2.94,2.98,285300
HYDRO,14-Oct-14,3.38,3.6,3.3,3.54,8618200
ICHI,14-Oct-14,23,23.2,22.9,22.9,1764600
IEC,14-Oct-14,0.04,0.05,0.03,0.04,13848075400
